!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E5'  TableTitle=''  Document='MGluR'				
!TimePoint	!Time	>Y5	SD_Y5	>Y6	SD_Y6
E5T0	0	0	0.01	1	0.01
E5T1	1	0	0.01	1	0.01
E5T2	2	0	0.01	1	0.01
E5T3	3	0	0.01	1	0.01
E5T4	4	0	0.01	1	0.01
E5T5	5	0	0.01	1	0.01
E5T6	6	0.84371	0.29646	0.44729	0.27802
E5T7	7	0.93249	0.30498	0.3102	0.26198
E5T8	8	0.96709	0.31084	0.22232	0.25261
E5T9	9	0.98293	0.31424	0.16129	0.24722
E5T10	10	0.99086	0.31618	0.11701	0.24429
E5T11	11	0.99507	0.31729	0.083934	0.24288
E5T12	12	0.9974	0.31794	0.058715	0.24239
E5T13	13	0.99874	0.31833	0.03917	0.24245
E5T14	14	0.99953	0.31857	0.023827	0.24281
E5T15	15	1	0.31871	0.011652	0.24333
E5T16	16	0.68905	0.25365	0.0039264	0.24502
E5T17	17	0.51988	0.2076	0	0.24687
E5T18	18	0.40114	0.17253	0.0011388	0.24951
E5T19	19	0.31409	0.14461	0.0081182	0.25275
E5T20	20	0.24863	0.12191	0.02127	0.25628
E5T21	21	0.19852	0.10323	0.040463	0.25937
E5T22	22	0.15966	0.087729	0.064357	0.26132
E5T23	23	0.12919	0.074786	0.091684	0.26177
E5T24	24	0.10509	0.063925	0.12019	0.26041
E5T25	25	0.085893	0.054776	0.14929	0.25786
E5T26	26	0.070497	0.047042	0.17761	0.2544
E5T27	27	0.058081	0.040483	0.20469	0.25045
E5T28	28	0.048018	0.034906	0.23043	0.2463
E5T29	29	0.039826	0.030152	0.25481	0.24219
E5T30	30	0.033128	0.026089	0.27804	0.23816
E5T31	31	0.027632	0.02261	0.30019	0.23425
E5T32	32	0.023107	0.019626	0.32133	0.23045
E5T33	33	0.019369	0.01706	0.34155	0.22675
E5T34	34	0.016272	0.01485	0.36095	0.22314
E5T35	35	0.013699	0.012943	0.37957	0.21961
E5T36	36	0.011556	0.011296	0.39745	0.21615
E5T37	37	0.0097672	0.01	0.41465	0.21275
E5T38	38	0.00827	0.01	0.4312	0.20942
E5T39	39	0.0070142	0.01	0.44714	0.20615
E5T40	40	0.0059589	0.01	0.4625	0.20293
E5T41	41	0.0050703	0.01	0.47732	0.19977
E5T42	42	0.0043207	0.01	0.49161	0.19666
E5T43	43	0.0036872	0.01	0.50541	0.1936
E5T44	44	0.0031509	0.01	0.51874	0.19059
E5T45	45	0.0026962	0.01	0.53162	0.18763
E5T46	46	0.00231	0.01	0.54406	0.18472
E5T47	47	0.0019816	0.01	0.5561	0.18185
E5T48	48	0.0017019	0.01	0.56774	0.17903
E5T49	49	0.0014633	0.01	0.579	0.17625
E5T50	50	0.0012596	0.01	0.58991	0.17352
E5T51	51	0.0010854	0.01	0.60047	0.17083
E5T52	52	0.0009363	0.01	0.6107	0.16818
E5T53	53	0.00080847	0.01	0.62061	0.16557
E5T54	54	0.00069877	0.01	0.63021	0.163
E5T55	55	0.00060453	0.01	0.63952	0.16047
E5T56	56	0.00052348	0.01	0.64855	0.15798
E5T57	57	0.0004537	0.01	0.65731	0.15553
E5T58	58	0.00039356	0.01	0.6658	0.15312
E5T59	59	0.00034168	0.01	0.67405	0.15075
E5T60	60	0.00029689	0.01	0.68205	0.14841
E5T61	61	0.00025818	0.01	0.68982	0.14611
E5T62	62	0.00022469	0.01	0.69736	0.14385
E5T63	63	0.00019569	0.01	0.70469	0.14162
E5T64	64	0.00017056	0.01	0.71181	0.13943
E5T65	65	0.00014877	0.01	0.71872	0.13727
